Year,Code,Constituency,Region,Party Abbreviation,Party,Candidate Votes,Share of Vote,Total constituency votes,Majority Party,Majority,Majority %
2017,E14000984,Sutton and Cheam,London,C,Conservative,26567,51.12%,51970,C,12698,24.43%
2017,E14000984,Sutton and Cheam,London,LD,Lib Dem,13869,26.69%,,,,
2017,E14000984,Sutton and Cheam,London,Lab,Labour,10663,20.52%,,,,
2017,E14000984,Sutton and Cheam,London,Green,Green,871,1.68%,,,,
2017,E14000998,Tooting,London,Lab,Labour,34694,59.64%,58171,Lab,15458,26.57%
2017,E14000998,Tooting,London,C,Conservative,19236,33.07%,,,,
2017,E14000998,Tooting,London,LD,Lib Dem,3057,5.26%,,,,
2017,E14000998,Tooting,London,Green,Green,845,1.45%,,,,
2017,E14000998,Tooting,London,UKIP,UKIP,339,0.58%,,,,
2017,E14001002,Tottenham,London,Lab,Labour,40249,81.58%,49339,Lab,34584,70.09%
2017,E14001002,Tottenham,London,C,Conservative,5665,11.48%,,,,
2017,E14001002,Tottenham,London,LD,Lib Dem,1687,3.42%,,,,
2017,E14001002,Tottenham,London,Green,Green,1276,2.59%,,,,
2017,E14001002,Tottenham,London,UKIP,UKIP,462,0.94%,,,,
2017,E14001005,Twickenham,London,LD,Lib Dem,34969,52.75%,66290,LD,9762,14.73%
2017,E14001005,Twickenham,London,C,Conservative,25207,38.03%,,,,
2017,E14001005,Twickenham,London,Lab,Labour,6114,9.22%,,,,
2017,E14001007,Uxbridge and South Ruislip,London,C,Conservative,23716,50.79%,46694,C,5034,10.78%
2017,E14001007,Uxbridge and South Ruislip,London,Lab,Labour,18682,40.01%,,,,
2017,E14001007,Uxbridge and South Ruislip,London,LD,Lib Dem,1835,3.93%,,,,
2017,E14001007,Uxbridge and South Ruislip,London,UKIP,UKIP,1577,3.38%,,,,
2017,E14001007,Uxbridge and South Ruislip,London,Green,Green,884,1.89%,,,,
2017,E14001008,Vauxhall,London,Lab,Labour,31576,57.37%,55042,Lab,20250,36.79%
2017,E14001008,Vauxhall,London,LD,Lib Dem,11326,20.58%,,,,
2017,E14001008,Vauxhall,London,C,Conservative,10277,18.67%,,,,
2017,E14001008,Vauxhall,London,Green,Green,1152,2.09%,,,,
2017,E14001008,Vauxhall,London,Other,Other,711,1.29%,,,,
2017,E14001013,Walthamstow,London,Lab,Labour,38700,80.54%,48050,Lab,31924,66.44%
2017,E14001013,Walthamstow,London,C,Conservative,6776,14.10%,,,,
2017,E14001013,Walthamstow,London,LD,Lib Dem,1384,2.88%,,,,
2017,E14001013,Walthamstow,London,Green,Green,1190,2.48%,,,,
2017,E14001032,West Ham,London,Lab,Labour,46591,76.75%,60708,Lab,36754,60.54%
2017,E14001032,West Ham,London,C,Conservative,9837,16.20%,,,,
2017,E14001032,West Ham,London,LD,Lib Dem,1836,3.02%,,,,
2017,E14001032,West Ham,London,UKIP,UKIP,1134,1.87%,,,,
2017,E14001032,West Ham,London,Green,Green,957,1.58%,,,,
2017,E14001032,West Ham,London,Ind,Independent,353,0.58%,,,,
2017,E14001036,Westminster North,London,Lab,Labour,25934,59.90%,43295,Lab,11512,26.59%
2017,E14001036,Westminster North,London,C,Conservative,14422,33.31%,,,,
2017,E14001036,Westminster North,London,LD,Lib Dem,2253,5.20%,,,,
2017,E14001036,Westminster North,London,Green,Green,595,1.37%,,,,
2017,E14001036,Westminster North,London,Ind,Independent,91,0.21%,,,,
2017,E14001040,Wimbledon,London,C,Conservative,23946,46.51%,51481,C,5622,10.92%
2017,E14001040,Wimbledon,London,Lab,Labour,18324,35.59%,,,,
2017,E14001040,Wimbledon,London,LD,Lib Dem,7427,14.43%,,,,
2017,E14001040,Wimbledon,London,Green,Green,1231,2.39%,,,,
2017,E14001040,Wimbledon,London,UKIP,UKIP,553,1.07%,,,,
2015,E14000540,Barking,London,Lab,Labour,"24,826",57.70%,"43,023",Lab,"15,272",35.50%
2015,E14000540,Barking,London,UKIP,UKIP,"9,554",22.21%,,,,
2015,E14000540,Barking,London,C,Conservative,"7,019",16.31%,,,,
2015,E14000540,Barking,London,Green,Green,879,2.04%,,,,
2015,E14000540,Barking,London,LD,Lib Dem,562,1.31%,,,,
2015,E14000540,Barking,London,TUSC,Trade Unionist and Socialist Coalition,183,0.43%,,,,
2015,E14000549,Battersea,London,C,Conservative,"26,730",52.38%,"51,031",C,"7,938",15.56%
2015,E14000549,Battersea,London,Lab,Labour,"18,792",36.82%,,,,
2015,E14000549,Battersea,London,LD,Lib Dem,"2,241",4.39%,,,,
2015,E14000549,Battersea,London,Green,Green,"1,682",3.30%,,,,
2015,E14000549,Battersea,London,UKIP,UKIP,"1,586",3.11%,,,,
2015,E14000551,Beckenham,London,C,Conservative,"27,955",57.28%,"48,803",C,"18,471",37.85%
2015,E14000551,Beckenham,London,Lab,Labour,"9,484",19.43%,,,,
2015,E14000551,Beckenham,London,UKIP,UKIP,"6,108",12.52%,,,,
2015,E14000551,Beckenham,London,LD,Lib Dem,"3,378",6.92%,,,,
2015,E14000551,Beckenham,London,Green,Green,"1,878",3.85%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,Lab,Labour,"22,146",43.07%,"51,424",Lab,"4,489",8.73%
2015,E14000553,Bermondsey and Old Southwark,London,LD,Lib Dem,"17,657",34.34%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,C,Conservative,"6,051",11.77%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,UKIP,UKIP,"3,254",6.33%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,Green,Green,"2,023",3.93%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,TUSC,Trade Unionist and Socialist Coalition,142,0.28%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,Ind,Independent,72,0.14%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,AP,AP,59,0.11%,,,,
2015,E14000553,Bermondsey and Old Southwark,London,Rep Soc,Rep Soc,20,0.04%,,,,
2015,E14000555,Bethnal Green and Bow,London,Lab,Labour,"32,387",61.20%,"52,924",Lab,"24,317",45.95%
2015,E14000555,Bethnal Green and Bow,London,C,Conservative,"8,070",15.25%,,,,
2015,E14000555,Bethnal Green and Bow,London,Green,Green,"4,906",9.27%,,,,
2015,E14000555,Bethnal Green and Bow,London,UKIP,UKIP,"3,219",6.08%,,,,
2015,E14000555,Bethnal Green and Bow,London,LD,Lib Dem,"2,395",4.53%,,,,
2015,E14000555,Bethnal Green and Bow,London,TUSC,Trade Unionist and Socialist Coalition,949,1.79%,,,,
2015,E14000555,Bethnal Green and Bow,London,Community,Community,356,0.67%,,,,
2015,E14000555,Bethnal Green and Bow,London,CSA,Cannabis is Safer than Alcohol,303,0.57%,,,,
2015,E14000555,Bethnal Green and Bow,London,Whig,Whig,203,0.38%,,,,
2015,E14000555,Bethnal Green and Bow,London,30-50,30-50,78,0.15%,,,,
2015,E14000555,Bethnal Green and Bow,London,RFAC,Red Flag Anti-Corruption,58,0.11%,,,,
2015,E14000558,Bexleyheath and Crayford,London,C,Conservative,"20,643",47.25%,"43,685",C,"9,192",21.04%
2015,E14000558,Bexleyheath and Crayford,London,Lab,Labour,"11,451",26.21%,,,,
2015,E14000558,Bexleyheath and Crayford,London,UKIP,UKIP,"9,182",21.02%,,,,
2015,E14000558,Bexleyheath and Crayford,London,LD,Lib Dem,"1,308",2.99%,,,,
2015,E14000558,Bexleyheath and Crayford,London,Green,Green,950,2.17%,,,,
2015,E14000558,Bexleyheath and Crayford,London,Eng Dem,Eng Dem,151,0.35%,,,,
2015,E14000591,Brent Central,London,Lab,Labour,"29,216",62.12%,"47,032",Lab,"19,649",41.78%
2015,E14000591,Brent Central,London,C,Conservative,"9,567",20.34%,,,,
2015,E14000591,Brent Central,London,LD,Lib Dem,"3,937",8.37%,,,,
2015,E14000591,Brent Central,London,Green,Green,"1,912",4.07%,,,,
2015,E14000591,Brent Central,London,UKIP,UKIP,"1,850",3.93%,,,,
2015,E14000591,Brent Central,London,TUSC,Trade Unionist and Socialist Coalition,235,0.50%,,,,
2015,E14000591,Brent Central,London,Community,Community,170,0.36%,,,,
2015,E14000591,Brent Central,London,Ind,Independent,145,0.31%,,,,
2015,E14000592,Brent North,London,Lab,Labour,"28,351",54.28%,"52,235",Lab,"10,834",20.74%
2015,E14000592,Brent North,London,C,Conservative,"17,517",33.53%,,,,
2015,E14000592,Brent North,London,LD,Lib Dem,"2,607",4.99%,,,,
2015,E14000592,Brent North,London,UKIP,UKIP,"2,024",3.87%,,,,
2015,E14000592,Brent North,London,Green,Green,"1,539",2.95%,,,,
2015,E14000592,Brent North,London,Ind,Independent,197,0.38%,,,,
2015,E14000593,Brentford and Isleworth,London,Lab,Labour,"25,096",43.76%,"57,355",Lab,465,0.81%
2015,E14000593,Brentford and Isleworth,London,C,Conservative,"24,631",42.94%,,,,
2015,E14000593,Brentford and Isleworth,London,UKIP,UKIP,"3,203",5.58%,,,,
2015,E14000593,Brentford and Isleworth,London,LD,Lib Dem,"2,305",4.02%,,,,
2015,E14000593,Brentford and Isleworth,London,Green,Green,"2,120",3.70%,,,,
2015,E14000604,Bromley and Chislehurst,London,C,Conservative,"23,343",52.97%,"44,066",C,"13,564",30.78%
2015,E14000604,Bromley and Chislehurst,London,Lab,Labour,"9,779",22.19%,,,,
2015,E14000604,Bromley and Chislehurst,London,UKIP,UKIP,"6,285",14.26%,,,,
2015,E14000604,Bromley and Chislehurst,London,LD,Lib Dem,"2,836",6.44%,,,,
2015,E14000604,Bromley and Chislehurst,London,Green,Green,"1,823",4.14%,,,,
2015,E14000615,Camberwell and Peckham,London,Lab,Labour,"32,614",63.25%,"51,561",Lab,"25,824",50.08%
2015,E14000615,Camberwell and Peckham,London,C,Conservative,"6,790",13.17%,,,,
2015,E14000615,Camberwell and Peckham,London,Green,Green,"5,187",10.06%,,,,
2015,E14000615,Camberwell and Peckham,London,LD,Lib Dem,"2,580",5.00%,,,,
2015,E14000615,Camberwell and Peckham,London,UKIP,UKIP,"2,413",4.68%,,,,
2015,E14000615,Camberwell and Peckham,London,AP,AP,829,1.61%,,,,
2015,E14000615,Camberwell and Peckham,London,NHAP,National Health Action Party,466,0.90%,,,,
2015,E14000615,Camberwell and Peckham,London,TUSC,Trade Unionist and Socialist Coalition,292,0.57%,,,,
2015,E14000615,Camberwell and Peckham,London,CSA,Cannabis is Safer than Alcohol,197,0.38%,,,,
2015,E14000615,Camberwell and Peckham,London,WRP,WRP,107,0.21%,,,,
2015,E14000615,Camberwell and Peckham,London,Whig,Whig,86,0.17%,,,,
2015,E14000621,Carshalton and Wallington,London,LD,Lib Dem,"16,603",34.87%,"47,613",LD,"1,510",3.15%
2015,E14000621,Carshalton and Wallington,London,C,Conservative,"15,093",31.70%,,,,
2015,E14000621,Carshalton and Wallington,London,Lab,Labour,"7,150",15.02%,,,,
2015,E14000621,Carshalton and Wallington,London,UKIP,UKIP,"7,049",14.80%,,,,
2015,E14000621,Carshalton and Wallington,London,Green,Green,"1,492",3.13%,,,,
2015,E14000621,Carshalton and Wallington,London,CPA,CPA,177,0.37%,,,,
2015,E14000621,Carshalton and Wallington,London,NF,National Front,49,0.10%,,,,
2015,E14000629,Chelsea and Fulham,London,C,Conservative,"25,322",62.95%,"40,226",C,"16,022",39.83%
2015,E14000629,Chelsea and Fulham,London,Lab,Labour,"9,300",23.12%,,,,
2015,E14000629,Chelsea and Fulham,London,LD,Lib Dem,"2,091",5.20%,,,,
2015,E14000629,Chelsea and Fulham,London,UKIP,UKIP,"2,039",5.07%,,,,
2015,E14000629,Chelsea and Fulham,London,Green,Green,"1,474",3.66%,,,,
2015,E14000634,Chingford and Woodford Green,London,C,Conservative,"20,999",47.94%,"43,804",C,"8,386",19.11%
2015,E14000634,Chingford and Woodford Green,London,Lab,Labour,"12,613",28.79%,,,,
2015,E14000634,Chingford and Woodford Green,London,UKIP,UKIP,"5,644",12.88%,,,,
2015,E14000634,Chingford and Woodford Green,London,LD,Lib Dem,"2,400",5.48%,,,,
2015,E14000634,Chingford and Woodford Green,London,Green,Green,"1,854",4.23%,,,,
2015,E14000634,Chingford and Woodford Green,London,TUSC,Trade Unionist and Socialist Coalition,241,0.55%,,,,
2015,E14000634,Chingford and Woodford Green,London,Class War,Class War,53,0.12%,,,,
2015,E14000636,Chipping Barnet,London,C,Conservative,"25,759",48.59%,"53,013",C,"7,656",14.44%
2015,E14000636,Chipping Barnet,London,Lab,Labour,"18,103",34.15%,,,,
2015,E14000636,Chipping Barnet,London,UKIP,UKIP,"4,151",7.83%,,,,
2015,E14000636,Chipping Barnet,London,Green,Green,"2,501",4.72%,,,,
2015,E14000636,Chipping Barnet,London,LD,Lib Dem,"2,381",4.49%,,,,
2015,E14000636,Chipping Barnet,London,ND,ND,118,0.22%,,,,
2015,E14000639,Cities of London and Westminster,London,C,Conservative,"19,570",54.08%,"36,185",C,"9,671",26.73%
2015,E14000639,Cities of London and Westminster,London,Lab,Labour,"9,899",27.36%,,,,
2015,E14000639,Cities of London and Westminster,London,LD,Lib Dem,"2,521",6.97%,,,,
2015,E14000639,Cities of London and Westminster,London,Green,Green,"1,953",5.40%,,,,
2015,E14000639,Cities of London and Westminster,London,UKIP,UKIP,"1,894",5.23%,,,,
2015,E14000639,Cities of London and Westminster,London,CSA,Cannabis is Safer than Alcohol,160,0.44%,,,,
2015,E14000639,Cities of London and Westminster,London,CPA,CPA,129,0.36%,,,,
2015,E14000639,Cities of London and Westminster,London,Class War,Class War,59,0.16%,,,,
2015,E14000654,Croydon Central,London,C,Conservative,"22,753",42.98%,"52,941",C,165,0.31%
2015,E14000654,Croydon Central,London,Lab,Labour,"22,588",42.67%,,,,
2015,E14000654,Croydon Central,London,UKIP,UKIP,"4,810",9.09%,,,,
2015,E14000654,Croydon Central,London,Green,Green,"1,454",2.75%,,,,
2015,E14000654,Croydon Central,London,LD,Lib Dem,"1,152",2.18%,,,,
2015,E14000654,Croydon Central,London,TUSC,Trade Unionist and Socialist Coalition,127,0.24%,,,,
2015,E14000654,Croydon Central,London,UKPDP,UKPDP,57,0.11%,,,,
2015,E14000655,Croydon North,London,Lab,Labour,"33,513",62.62%,"53,522",Lab,"21,364",39.92%
2015,E14000655,Croydon North,London,C,Conservative,"12,149",22.70%,,,,
2015,E14000655,Croydon North,London,UKIP,UKIP,"2,899",5.42%,,,,
2015,E14000655,Croydon North,London,Green,Green,"2,515",4.70%,,,,
2015,E14000655,Croydon North,London,LD,Lib Dem,"1,919",3.59%,,,,
2015,E14000655,Croydon North,London,TUSC,Trade Unionist and Socialist Coalition,261,0.49%,,,,
2015,E14000655,Croydon North,London,Ind,Independent,141,0.26%,,,,
2015,E14000655,Croydon North,London,Comm,Comm,125,0.23%,,,,
2015,E14000656,Croydon South,London,C,Conservative,"31,448",54.49%,"57,712",C,"17,140",29.70%
2015,E14000656,Croydon South,London,Lab,Labour,"14,308",24.79%,,,,
2015,E14000656,Croydon South,London,UKIP,UKIP,"6,068",10.51%,,,,
2015,E14000656,Croydon South,London,LD,Lib Dem,"3,448",5.97%,,,,
2015,E14000656,Croydon South,London,Green,Green,"2,154",3.73%,,,,
2015,E14000656,Croydon South,London,Croydon,Croydon,221,0.38%,,,,
2015,E14000656,Croydon South,London,Class War,Class War,65,0.11%,,,,
2015,E14000657,Dagenham and Rainham,London,Lab,Labour,"17,830",41.45%,"43,015",Lab,"5,015",11.58%
2015,E14000657,Dagenham and Rainham,London,UKIP,UKIP,"12,815",29.79%,,,,
2015,E14000657,Dagenham and Rainham,London,C,Conservative,"10,492",24.39%,,,,
2015,E14000657,Dagenham and Rainham,London,Green,Green,806,1.87%,,,,
2015,E14000657,Dagenham and Rainham,London,LD,Lib Dem,717,1.67%,,,,
2015,E14000657,Dagenham and Rainham,London,BNP,BNP,151,0.35%,,,,
2015,E14000657,Dagenham and Rainham,London,ND,ND,133,0.31%,,,,
2015,E14000657,Dagenham and Rainham,London,Eng Dem,Eng Dem,71,0.17%,,,,
2015,E14000673,Dulwich and West Norwood,London,Lab,Labour,"27,772",54.07%,"51,362",Lab,"16,122",31.39%
2015,E14000673,Dulwich and West Norwood,London,C,Conservative,"11,650",22.68%,,,,
2015,E14000673,Dulwich and West Norwood,London,LD,Lib Dem,"5,055",9.84%,,,,
2015,E14000673,Dulwich and West Norwood,London,Green,Green,"4,844",9.43%,,,,
2015,E14000673,Dulwich and West Norwood,London,UKIP,UKIP,"1,606",3.13%,,,,
2015,E14000673,Dulwich and West Norwood,London,TUSC,Trade Unionist and Socialist Coalition,248,0.48%,,,,
2015,E14000673,Dulwich and West Norwood,London,Ind,Independent,125,0.24%,,,,
2015,E14000673,Dulwich and West Norwood,London,AP,AP,62,0.12%,,,,
2015,E14000674,Ealing Central and Acton,London,Lab,Labour,"22,002",43.23%,"50,894",Lab,274,0.54%
2015,E14000674,Ealing Central and Acton,London,C,Conservative,"21,728",42.69%,,,,
2015,E14000674,Ealing Central and Acton,London,LD,Lib Dem,"3,106",6.10%,,,,
2015,E14000674,Ealing Central and Acton,London,UKIP,UKIP,"1,926",3.78%,,,,
2015,E14000674,Ealing Central and Acton,London,Green,Green,"1,841",3.62%,,,,
2015,E14000674,Ealing Central and Acton,London,Ind,Independent,125,0.25%,,,,
2015,E14000674,Ealing Central and Acton,London,WRP,WRP,73,0.14%,,,,
2015,E14000674,Ealing Central and Acton,London,Above,Above,54,0.11%,,,,
2015,E14000674,Ealing Central and Acton,London,EP,EP,39,0.08%,,,,
2015,E14000675,Ealing North,London,Lab,Labour,"26,745",55.13%,"48,510",Lab,"12,326",25.41%
2015,E14000675,Ealing North,London,C,Conservative,"14,419",29.72%,,,,
2015,E14000675,Ealing North,London,UKIP,UKIP,"3,922",8.08%,,,,
2015,E14000675,Ealing North,London,Green,Green,"1,635",3.37%,,,,
2015,E14000675,Ealing North,London,LD,Lib Dem,"1,575",3.25%,,,,
2015,E14000675,Ealing North,London,TUSC,Trade Unionist and Socialist Coalition,214,0.44%,,,,
2015,E14000676,"Ealing, Southall",London,Lab,Labour,"28,147",64.97%,"43,321",Lab,"18,760",42.90%
2015,E14000676,"Ealing, Southall",London,C,Conservative,"9,387",21.67%,,,,
2015,E14000676,"Ealing, Southall",London,Green,Green,"2,007",4.63%,,,,
2015,E14000676,"Ealing, Southall",London,UKIP,UKIP,"1,769",4.08%,,,,
2015,E14000676,"Ealing, Southall",London,LD,Lib Dem,"1,550",3.58%,,,,
2015,E14000676,"Ealing, Southall",London,Nat Lib,Nat Lib,461,1.06%,,,,
2015,E14000679,East Ham,London,Lab,Labour,"40,563",77.57%,"52,290",Lab,"34,252",65.50%
2015,E14000679,East Ham,London,C,Conservative,"6,311",12.07%,,,,
2015,E14000679,East Ham,London,UKIP,UKIP,"2,622",5.01%,,,,
2015,E14000679,East Ham,London,Green,Green,"1,299",2.48%,,,,
2015,E14000679,East Ham,London,LD,Lib Dem,856,1.64%,,,,
2015,E14000679,East Ham,London,Community,Community,409,0.78%,,,,
2015,E14000679,East Ham,London,TUSC,Trade Unionist and Socialist Coalition,230,0.44%,,,,
2015,E14000687,Edmonton,London,Lab,Labour,"25,388",61.42%,"41,338",Lab,"15,419",37.30%
2015,E14000687,Edmonton,London,C,Conservative,"9,969",24.12%,,,,
2015,E14000687,Edmonton,London,UKIP,UKIP,"3,366",8.14%,,,,
2015,E14000687,Edmonton,London,Green,Green,"1,358",3.29%,,,,
2015,E14000687,Edmonton,London,LD,Lib Dem,897,2.17%,,,,
2015,E14000687,Edmonton,London,TUSC,Trade Unionist and Socialist Coalition,360,0.87%,,,,
2015,E14000690,Eltham,London,Lab,Labour,"18,393",42.62%,"43,157",Lab,"2,693",6.23%
2015,E14000690,Eltham,London,C,Conservative,"15,700",36.38%,,,,
2015,E14000690,Eltham,London,UKIP,UKIP,"6,481",15.02%,,,,
2015,E14000690,Eltham,London,LD,Lib Dem,"1,308",3.03%,,,,
2015,E14000690,Eltham,London,Green,Green,"1,275",2.95%,,,,
2015,E14000691,Enfield North,London,Lab,Labour,"20,172",43.72%,"46,137",Lab,"1,086",2.35%
2015,E14000691,Enfield North,London,C,Conservative,"19,086",41.37%,,,,
2015,E14000691,Enfield North,London,UKIP,UKIP,"4,133",8.96%,,,,
2015,E14000691,Enfield North,London,Green,Green,"1,303",2.82%,,,,
2015,E14000691,Enfield North,London,LD,Lib Dem,"1,059",2.30%,,,,
2015,E14000691,Enfield North,London,CPA,CPA,207,0.45%,,,,
2015,E14000691,Enfield North,London,TUSC,Trade Unionist and Socialist Coalition,177,0.38%,,,,
2015,E14000692,"Enfield, Southgate",London,C,Conservative,"22,624",49.38%,"45,812",C,"4,753",10.37%
2015,E14000692,"Enfield, Southgate",London,Lab,Labour,"17,871",39.01%,,,,
2015,E14000692,"Enfield, Southgate",London,UKIP,UKIP,"2,109",4.60%,,,,
2015,E14000692,"Enfield, Southgate",London,Green,Green,"1,690",3.69%,,,,
2015,E14000692,"Enfield, Southgate",London,LD,Lib Dem,"1,518",3.31%,,,,
2015,E14000696,Erith and Thamesmead,London,Lab,Labour,"21,209",49.77%,"42,617",Lab,"9,525",22.35%
2015,E14000696,Erith and Thamesmead,London,C,Conservative,"11,684",27.42%,,,,
2015,E14000696,Erith and Thamesmead,London,UKIP,UKIP,"7,368",17.29%,,,,
2015,E14000696,Erith and Thamesmead,London,LD,Lib Dem,972,2.28%,,,,
2015,E14000696,Erith and Thamesmead,London,Green,Green,941,2.21%,,,,
2015,E14000696,Erith and Thamesmead,London,CPA,CPA,255,0.60%,,,,
2015,E14000696,Erith and Thamesmead,London,Eng Dem,Eng Dem,188,0.44%,,,,
2015,E14000701,Feltham and Heston,London,Lab,Labour,"25,845",52.31%,"49,405",Lab,"11,463",23.20%
2015,E14000701,Feltham and Heston,London,C,Conservative,"14,382",29.11%,,,,
2015,E14000701,Feltham and Heston,London,UKIP,UKIP,"6,209",12.57%,,,,
2015,E14000701,Feltham and Heston,London,LD,Lib Dem,"1,579",3.20%,,,,
2015,E14000701,Feltham and Heston,London,Green,Green,"1,390",2.81%,,,,
2015,E14000703,Finchley and Golders Green,London,C,Conservative,"25,835",50.90%,"50,759",C,"5,662",11.15%
2015,E14000703,Finchley and Golders Green,London,Lab,Labour,"20,173",39.74%,,,,
2015,E14000703,Finchley and Golders Green,London,UKIP,UKIP,"1,732",3.41%,,,,
2015,E14000703,Finchley and Golders Green,London,LD,Lib Dem,"1,662",3.27%,,,,
2015,E14000703,Finchley and Golders Green,London,Green,Green,"1,357",2.67%,,,,
2015,E14000718,Greenwich and Woolwich,London,Lab,Labour,"24,384",52.20%,"46,716",Lab,"11,946",25.57%
2015,E14000718,Greenwich and Woolwich,London,C,Conservative,"12,438",26.62%,,,,
2015,E14000718,Greenwich and Woolwich,London,UKIP,UKIP,"3,888",8.32%,,,,
2015,E14000718,Greenwich and Woolwich,London,Green,Green,"2,991",6.40%,,,,
2015,E14000718,Greenwich and Woolwich,London,LD,Lib Dem,"2,645",5.66%,,,,
2015,E14000718,Greenwich and Woolwich,London,TUSC,Trade Unionist and Socialist Coalition,370,0.79%,,,,
2015,E14000720,Hackney North and Stoke Newington,London,Lab,Labour,"31,357",62.86%,"49,887",Lab,"24,008",48.12%
2015,E14000720,Hackney North and Stoke Newington,London,C,Conservative,"7,349",14.73%,,,,
2015,E14000720,Hackney North and Stoke Newington,London,Green,Green,"7,281",14.59%,,,,
2015,E14000720,Hackney North and Stoke Newington,London,LD,Lib Dem,"2,492",5.00%,,,,
2015,E14000720,Hackney North and Stoke Newington,London,UKIP,UKIP,"1,085",2.17%,,,,
2015,E14000720,Hackney North and Stoke Newington,London,AWP,AWP,221,0.44%,,,,
2015,E14000720,Hackney North and Stoke Newington,London,Comm Lge,Comm Lge,102,0.20%,,,,
2015,E14000721,Hackney South and Shoreditch,London,Lab,Labour,"30,633",64.38%,"47,580",Lab,"24,213",50.89%
2015,E14000721,Hackney South and Shoreditch,London,C,Conservative,"6,420",13.49%,,,,
2015,E14000721,Hackney South and Shoreditch,London,Green,Green,"5,519",11.60%,,,,
2015,E14000721,Hackney South and Shoreditch,London,LD,Lib Dem,"2,186",4.59%,,,,
2015,E14000721,Hackney South and Shoreditch,London,UKIP,UKIP,"1,818",3.82%,,,,
2015,E14000721,Hackney South and Shoreditch,London,TUSC,Trade Unionist and Socialist Coalition,302,0.63%,,,,
2015,E14000721,Hackney South and Shoreditch,London,CSA,Cannabis is Safer than Alcohol,297,0.62%,,,,
2015,E14000721,Hackney South and Shoreditch,London,CPA,CPA,236,0.50%,,,,
2015,E14000721,Hackney South and Shoreditch,London,Ind,Independent,78,0.16%,,,,
2015,E14000721,Hackney South and Shoreditch,London,WRP,WRP,63,0.13%,,,,
2015,E14000721,Hackney South and Shoreditch,London,Campaign,Campaign,28,0.06%,,,,
2015,E14000726,Hammersmith,London,Lab,Labour,"23,981",50.00%,"47,960",Lab,"6,518",13.59%
2015,E14000726,Hammersmith,London,C,Conservative,"17,463",36.41%,,,,
2015,E14000726,Hammersmith,London,LD,Lib Dem,"2,224",4.64%,,,,
2015,E14000726,Hammersmith,London,Green,Green,"2,105",4.39%,,,,
2015,E14000726,Hammersmith,London,UKIP,UKIP,"2,105",4.39%,,,,
2015,E14000726,Hammersmith,London,ND,ND,82,0.17%,,,,
2015,E14000727,Hampstead and Kilburn,London,Lab,Labour,"23,977",44.43%,"53,964",Lab,"1,138",2.11%
2015,E14000727,Hampstead and Kilburn,London,C,Conservative,"22,839",42.32%,,,,
2015,E14000727,Hampstead and Kilburn,London,LD,Lib Dem,"3,039",5.63%,,,,
2015,E14000727,Hampstead and Kilburn,London,Green,Green,"2,387",4.42%,,,,
2015,E14000727,Hampstead and Kilburn,London,UKIP,UKIP,"1,532",2.84%,,,,
2015,E14000727,Hampstead and Kilburn,London,Ind,Independent,113,0.21%,,,,
2015,E14000727,Hampstead and Kilburn,London,U Party,U Party,77,0.14%,,,,
2015,E14000731,Harrow East,London,C,Conservative,"24,668",50.34%,"49,000",C,"4,757",9.71%
2015,E14000731,Harrow East,London,Lab,Labour,"19,911",40.63%,,,,
2015,E14000731,Harrow East,London,UKIP,UKIP,"2,333",4.76%,,,,
2015,E14000731,Harrow East,London,LD,Lib Dem,"1,037",2.12%,,,,
2015,E14000731,Harrow East,London,Green,Green,846,1.73%,,,,
2015,E14000731,Harrow East,London,TUSC,Trade Unionist and Socialist Coalition,205,0.42%,,,,
2015,E14000732,Harrow West,London,Lab,Labour,"21,885",46.96%,"46,603",Lab,"2,208",4.74%
2015,E14000732,Harrow West,London,C,Conservative,"19,677",42.22%,,,,
2015,E14000732,Harrow West,London,UKIP,UKIP,"2,047",4.39%,,,,
2015,E14000732,Harrow West,London,LD,Lib Dem,"1,567",3.36%,,,,
2015,E14000732,Harrow West,London,Green,Green,"1,310",2.81%,,,,
2015,E14000732,Harrow West,London,Ind,Independent,117,0.25%,,,,
2015,E14000737,Hayes and Harlington,London,Lab,Labour,"26,843",59.58%,"45,056",Lab,"15,700",34.78%
2015,E14000737,Hayes and Harlington,London,C,Conservative,"11,143",24.73%,,,,
2015,E14000737,Hayes and Harlington,London,UKIP,UKIP,"5,388",11.96%,,,,
2015,E14000737,Hayes and Harlington,London,LD,Lib Dem,888,1.97%,,,,
2015,E14000737,Hayes and Harlington,London,Green,Green,794,1.76%,,,,
2015,E14000741,Hendon,London,C,Conservative,"24,328",49.02%,"49,630",C,"3,724",7.50%
2015,E14000741,Hendon,London,Lab,Labour,"20,604",41.52%,,,,
2015,E14000741,Hendon,London,UKIP,UKIP,"2,595",5.23%,,,,
2015,E14000741,Hendon,London,LD,Lib Dem,"1,088",2.19%,,,,
2015,E14000741,Hendon,London,Green,Green,"1,015",2.05%,,,,
